Id,SalePrice
1461,121707.24459578944
1462,159215.7470095662
1463,179980.5718963244
1464,194611.47199483798
1465,194342.78195058432
1466,172644.00534681906
1467,174970.86538362614
1468,164537.89116696798
1469,186540.62156258617
1470,123417.36329693862
1471,192077.5897037204
1472,99614.94784618155
1473,97692.67133056637
1474,148975.86110131355
1475,121898.52226344531
1476,377350.13127583
1477,248057.22088569854
1478,288466.18138088204
1479,284829.83968320023
1480,514881.27528961125
1481,312289.09812894475
1482,207498.29434341023
1483,168358.07254518493
1484,166287.8440011528
1485,185476.26683709887
1486,194536.11362229785
1487,341774.3893413836
1488,234252.87551946816
1489,198027.63977506745
1490,227793.3193115444
1491,189108.7735419086
1492,90796.75926994611
1493,170203.079122672
1494,297324.16939956846
1495,296814.4018112074
1496,237197.90688304417
1497,183037.73622869074
1498,172741.81810728292
1499,164808.76883872977
1500,155343.64534904397
1501,175878.9962432061
1502,153126.41710437593
1503,291134.351944141
1504,247738.48616495557
1505,227873.3417687202
1506,194351.41803257694
1507,252986.0299026515
1508,199745.25668758334
1509,162337.98599497523
1510,147553.790065019
1511,157649.42484857683
1512,171639.00230418175
1513,143360.4312599359
1514,156726.62717963842
1515,190856.1674973557
1516,153170.69519851217
1517,162413.53334648415
1518,138030.47460681637
1519,213661.24316286092
1520,134140.76525602452
1521,134654.76842934487
1522,177268.16344873246
1523,113113.07752636289
1524,121352.569030621
1525,122782.60854510339
1526,113241.4957504794
1527,108927.87371569073
1528,133164.4378447175
1529,154599.7141006337
1530,177757.61394112106
1531,113640.8834793671
1532,100214.90194999523
1533,146375.35026299645
1534,124300.45284671655
1535,136552.47387053564
1536,103598.475317527
1537,64600.947167863174
1538,145402.85266557668
1539,193331.16855958552
1540,85717.42598744322
1541,140463.36192282013
1542,138414.20645450638
1543,197450.83583623127
1544,85034.57851887446
1545,109152.06557012012
1546,135198.27014518465
1547,130826.18664607378
1548,135045.26194750762
1549,118199.20149768158
1550,136969.3293806683
1551,112898.95191230101
1552,136301.7284721771
1553,140290.7675444825
1554,116592.29417939196
1555,166911.98883193932
1556,85818.16713333382
1557,102470.3770907246
1558,102632.17447139928
1559,69505.91902574986
1560,133851.77006333877
1561,126590.10135776624
1562,130630.01411730051
1563,122920.65853281101
1564,157600.29142442095
1565,147000.9275159153
1566,233217.61640659263
1567,79270.05009318408
1568,244925.24832009105
1569,127609.55073953603
1570,140529.68863785156
1571,120182.36467464645
1572,142305.68692845333
1573,232877.4325218502
1574,116426.80506716466
1575,218529.09061774044
1576,241898.9181726537
1577,186658.0043408421
1578,148961.61860381917
1579,142696.24537840224
1580,196380.01307076297
1581,153148.58577117106
1582,126277.68866357098
1583,315234.26333285123
1584,224260.59533690644
1585,139464.9935956762
1586,76336.48305780647
1587,105910.46873290798
1588,149691.13182813782
1589,94190.08353826737
1590,134512.69073333856
1591,96012.11238188812
1592,111148.29302522696
1593,133258.16197319943
1594,124996.72948173613
1595,111721.2065078604
1596,228708.9015032548
1597,190662.9982003299
1598,213587.83408259862
1599,173887.95310715705
1600,171212.26024095662
1601,70996.32430947706
1602,113214.28371507733
1603,75678.24488621936
1604,259310.51615467266
1605,247289.36212453985
1606,167323.57434919954
1607,181640.27833026182
1608,214927.568650437
1609,184834.13810194287
1610,145126.83333219652
1611,137574.744740231
1612,166951.1765695156
1613,160713.68665302175
1614,121391.55789654818
1615,88637.01707522974
1616,77539.16303944148
1617,93886.06991949065
1618,129119.91275133211
1619,140069.04673153788
1620,161330.12109192772
1621,134997.75350979774
1622,140084.39008489464
1623,262523.48937695817
1624,210605.3526971358
1625,124957.1754116482
1626,169054.7359025714
1627,190203.39536319918
1628,268034.3484245623
1629,180889.3684832871
1630,360002.71679143806
1631,224130.26015426172
1632,241813.09100023372
1633,173032.26252106982
1634,187562.53073042372
1635,179735.09673581415
1636,156027.1951171648
1637,200905.46656843374
1638,182613.0560464672
1639,181240.95306958165
1640,251220.89887511233
1641,176764.0406178388
1642,238043.37849331702
1643,222232.57697533845
1644,237539.0943340178
1645,199097.0606199044
1646,162339.54996465816
1647,160804.96207260533
1648,132193.3841989906
1649,142396.95163259335
1650,113487.31453528794
1651,119213.0241518976
1652,100764.15595940682
1653,102660.46770651486
1654,150014.86067888892
1655,144698.68641915554
1656,144718.8067237925
1657,150634.0704106286
1658,148896.85992406876
1659,127276.93203291076
1660,152535.89155283172
1661,463714.9578932803
1662,417599.9745574705
1663,383975.2932044709
1664,511293.454604979
1665,302736.9632353138
1666,312911.76025824196
1667,374320.9315316843
1668,345683.81756777
1669,301765.608984232
1670,354649.4657047992
1671,258330.15196551365
1672,467422.52985299286
1673,291381.86360439134
1674,241902.72519624414
1675,186295.02316031017
1676,187077.64173675657
1677,213765.63727246653
1678,471110.3576835552
1679,386327.0421660798
1680,335139.9062212213
1681,246989.0409231503
1682,299439.4893444493
1683,182591.08733610087
1684,174902.03514947812
1685,172608.9111563968
1686,172883.4612665056
1687,168100.386137507
1688,190901.75843116702
1689,193583.5953884236
1690,200645.25489339852
1691,187741.87784652007
1692,269800.08673946856
1693,165832.25192697218
1694,185122.86538074134
1695,167148.51986729287
1696,279911.6544478737
1697,170096.64061612176
1698,350484.66033462546
1699,309807.84875809524
1700,249136.15823310683
1701,273728.2261887681
1702,238546.07530294723
1703,241247.15497595508
1704,280037.57805810444
1705,237105.16792761013
1706,430620.80528935714
1707,215758.14725327198
1708,197132.88666259806
1709,267402.15259312483
1710,225048.55286539596
1711,271234.6776440876
1712,264989.2276719322
1713,273848.5914405867
1714,222534.7209768652
1715,209728.02601627907
1716,180776.21552573197
1717,176177.24393879616
1718,132352.9558388976
1719,196772.22150774888
1720,232541.41812698139
1721,161654.04954871643
1722,119123.79080211469
1723,152303.1043709218
1724,207620.3118323187
